stop_id,stop_name,stop_lat,stop_lon
533A13,Urb. Sidel,4.55780067196,-74.08461125686
005B11,Hsp. de Meissen,4.55868353415,-74.13867236782
005A11,Hsp. de Meissen,4.55890173723,-74.13874751668
584A11,Br. Abraham Lincoln,4.55906944881,-74.12490243885
012A13,Atenas,4.55928617232,-74.09052146223
362A11,CED Rufino José Cuervo,4.55937022559,-74.12415703191
229A13,Br. Ramajal,4.55945055745,-74.07953537276
397A12,Br. Zarazota I,4.56117260142,-74.11378808759
037A11,Estación Consuelo,4.56124378155,-74.12454324328
310A13,Br. Aguas Claras,4.56137842145,-74.06756218752
086A11,Br. Lucero Alto,4.56196899973,-74.14019800003
401A13,Br. Aguas Claras,4.56239440296,-74.06813905393
356A11,Br. San Carlos,4.56245940317,-74.13025913605
195A11,Br. Juan José Rondón,4.56274563534,-74.15208268897
310A11,IED San Francisco,4.56277986614,-74.14973143149
231A13,IED Jose Acevedo Y Gómez,4.56284201822,-74.08373125368
239A13,Br. La Castaña,4.56445925185,-74.07940394984
324A11,Colegio Castro Lozano,4.56460200044,-74.14365000031
300A12,Las Lomas,4.56474400030,-74.10841499971
457A13,Montebello,4.56490787372,-74.08871701887
234A13,Br. San Blas,4.56523073580,-74.08450341202
159A11,Br. Arborizadora Alta Cl 79 Sur,4.56539432980,-74.16895089278
068A13,Br. San Luis,4.56564999971,-74.10388200009
305A12,Br. Los Pijaos,4.56656105767,-74.10356126388
195A13,Br. San Isidro,4.56667671291,-74.09930298673
182A11,Br. Arborizadora Alta,4.56667694021,-74.16221973961
587A11,Av. Caracas,4.56680272548,-74.12714730070
176A11,Br. Arborizadora Alta,4.56683162985,-74.16658517577
459A13,Montebello,4.56711896903,-74.09302305818
090A11,Br.  Las Acacias,4.56715636710,-74.14469035423
302A12,Urb. Las Lomas I y II Sector,4.56728884936,-74.10504443448
178A11,Br. Arborizadora Alta,4.56750948665,-74.16478463855
462A12,Br. San Jorge Sur,4.56765944880,-74.11470384399
323A11,Br. Candelaria La Nueva,4.56784899994,-74.14791299986
135B12,Br. Marco Fidel Suárez I,4.56807188186,-74.11963979838
181B11,CED Gimnasio Sabio Caldas,4.56824600042,-74.16354600029
430A13,Barrio San Blas,4.56838180964,-74.08422711019
137A12,Instituto Ramón Briceño,4.56855700044,-74.12208199958
203A11,IED Arborizadora Alta,4.56858510070,-74.16188767663
061A11,Br. El Satélite,4.56863660832,-74.14624152701
061B11,Br. El Satélite,4.56879814877,-74.14644215392
065A12,Br. Country Sur,4.56924214266,-74.10067931695
311A12,La Resurrección,4.56950865901,-74.11156587784
210A11,Br. Arborizadora Alta,4.56982623334,-74.15807373919
212B11,Br. Manuela Beltrán,4.57002299998,-74.15849599984
205A11,Br. Jerusalén La Pradera,4.57014716157,-74.16082550283
257A13,Hospital San Blas,4.57018521515,-74.08193949889
392A13,Br. Montecarlo,4.57021139618,-74.07219040964
214A11,Br. Arborizadora Alta Cl 69D S,4.57021596232,-74.15640034453
479A11,Br. Arborizadora Alta,4.57046491300,-74.15357175537
