route_id,route_short_name,route_long_name,route_type
1653,740,Ruta ENGATIVA LA TORTIGUA - CANADA GUIRA,3
1705,1-7,Ruta PORTAL 80 - QUIRIGUA,3
1736,13-8,Ruta PORTAL 20 JULIO - ALTAMIRA,3
1740,16-1,Ruta PORTAL EL DORADO - TIERRA GRATA,3
1754,3-4,Ruta PORTAL USME - ALFONSO LOPEZ,3
1770,6-6,Ruta PORTAL TUNAL - JUAN JOSE RONDON,3
1757,674,Ruta FLORIDA - PUERTA AL LLANO,3
1762,3-10,Ruta PORTAL USME - USME CENTRO,3
1763,3-13,Ruta PORTAL USME - NEBRASKA,3
1764,3-5,Ruta PORTAL USME - USMINIA,3
1765,3-6,Ruta PORTAL USME - DANUBIO,3
1794,39,Ruta DIANA TURBAY - PALMITAS,3
1796,359,Ruta GERMANIA - ZN. IN ALAMOS,3
1797,359,Ruta ZN. IN ALAMOS - GERMANIA,3
1811,183,Ruta ROMA - UNICENTRO,3
1815,T16,Ruta EL REFUGIO - PERSEVERANCIA,3
1817,2-12,Ruta PORTAL NORTE - TIBABITA,3
1844,733,Ruta TIERRA BUENA - SAN CARLOS,3
1845,T09,Ruta PORTAL DE SUBA - CHORRILLOS,3
1867,T24,Ruta CIUDADELA EL RECREO - YOMASA BETANIA,3
1868,T24,Ruta YOMASA BETANIA - CIUDADELA EL RECREO,3
1870,18-14,Ruta TORCA - TIBABITA,3
1893,C37,Ruta VILLAS DE GRANADA - MAZUREN,3
1894,19-6,Ruta CALLE 142 - CEDRITOS,3
1928,722,Ruta SAN CRISTOBAL NORTE - PALMITAS,3
1929,488,Ruta VENECIA - LOMAS,3
1932,200,Ruta UNICENTRO - HAYUELOS II SECTOR,3
1933,C53,Ruta UNICENTRO - ACACIAS SUR,3
2054,183,Ruta UNICENTRO - ROMA,3
1939,37,Ruta UNICENTRO - EL PALMAR,3
1949,19-8,Ruta CALLE 85 - LA CABRERA,3
1950,19-3,Ruta CALLE 100 - CHICO NORTE,3
1966,7,Ruta CONSUELO - PALMITAS,3
2072,200,Ruta HAYUELOS II SECTOR - UNICENTRO,3
1967,C125,Ruta EL CONSUELO - VILLA ALSACIA,3
1971,15-5,Ruta BICENTENARIO - LA MARIA,3
1985,T30A,Ruta DO0A LILIANA - PATIO BONITO,3
1986,T30A,Ruta PATIO BONITO - DOTA LILIANA,3
1990,13-6,Ruta PORTAL 20 JULIO - JUAN REY,3
1994,P62,Ruta BOSA SANTA FE - LOS ALPES,3
2110,16-12,Ruta PORTAL EL DORADO - BELEN - PORTAL EL DORADO,3
1999,60,Ruta LOMAS - BACHUE,3
2000,4-3,Ruta MOLINOS - MOLINOS II,3
2003,SE14,Ruta DIANA TURBAY CULTIVOS - ENGATIVA CENTRO,3
2006,SE14,Ruta ENGATIVA CENTRO - DIANA TURBAY CULTIVOS,3
2009,T26,Ruta PALERMO SUR - UNICENTRO,3
2013,SE6,Ruta LA ROCA - VILLA GLADYS,3
2111,TC6,Ruta PORTAL EL DORADO - EL REFUGIO,3
2015,135,Ruta JACQUELINE - BOSQUE POPULAR,3
2124,1-5,Ruta PORTAL 80 - COLSUBSIDIO,3
2020,P23,Ruta BOSA CARBONELL - SAN BLAS,3
2125,1-9,Ruta PORTAL 80 - VILLAS DEL DORADO,3
2126,1-2,Ruta PORTAL 80 - GARCES NAVAS,3
2038,117,Ruta SAN BERNARDINO - LIBERTADORES,3
2048,162,Ruta CATALINA II - LAS NIEVES,3
2059,733,Ruta SAN CARLOS - TIERRA BUENA,3
2128,1-8,Ruta PORTAL 80 - CALLE 80,3
2138,19-10,Ruta PRADO - CIUDAD JARDIN NORTE,3
2060,786,Ruta DIANA TURBAY-PUENTES - METROVIVIENDA,3
2061,121,Ruta METROVIVIENDA - SAN DIEGO,3
2066,8-1,Ruta BANDERAS - KENNEDY CENTRAL,3
2071,C123,Ruta LA MAGDALENA - CENTRO ANDINO,3
2188,11-9,Ruta PORTAL SUBA - LISBOA,3
2075,270,Ruta RIVERAS DE OCCIDENTE - LA ESTRELLITA,3
2076,950,Ruta EL TUNO - TERMINAL,3
2077,603B,Ruta PATIO BONITO - GERMANIA,3
2079,132,Ruta METROVIVIENDA - CHAPINERO CENTRAL,3
2084,166,Ruta METROVIVIENDA - PORCIUNCULA,3
2085,489,Ruta LA RESURRECCION - UNICENTRO,3
2289,702,Ruta CORABASTOS - SABANA DEL DORADO,3
2086,806,Ruta PROVIDENCIA ALTA - SABANA DEL DORADO,3
2290,16-10,Ruta PORTAL EL DORADO - VILLEMAR,3
2088,539,Ruta EL UVAL - ENGATIVA CENTRO,3
2090,260,Ruta ARABIA - LA ESTRELLITA,3
2291,16-9,Ruta PORTAL EL DORADO - FONTIBON CENTRO,3
2093,201A,Ruta LA FISCALA - CARVAJAL,3
2292,16-8,Ruta PORTAL EL DORADO - ZONA FRANCA,3
2094,802,Ruta USME CENTRO - SABANA DEL DORADO,3
